Commentary,Players,Teams,Sentiment,Confidence,Play Type
"Dhawan jumps back, gets on top of a short ball outside off and punches on the up to the covers","['Shikhar Dhawan', 'Dhawan', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.556,no run
"short and climbs further outside off, no shot from Rahul","['KL Rahul', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.97,no run
"back of a length and pushed wider outside off, Rahul does not go after it again","['KL Rahul', 'Rahul', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.992,no run
"short and angling in at off stump, Rahul has ample time to skip on the back foot and dab it to the off side","['KL Rahul', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.86,no run
"much fuller and closer to off, but does not threaten off, so Rahul swishes his bat away","['KL Rahul', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.963,no run
"Stokes dangles the bait outside off, again, Rahul bites this time and gets away. Throws his hands at a short ball outside off and flashes it over the cordon for a streaky four","['KL Rahul', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,0.995,four
"oooooh, how did that miss off stump? Stokes ventures wide of the crease, and gets it to swing back in viciously and threaten off. Rahul's feet are static as he hangs his bat inside the line and is beaten. It wasn't too far away from the off stump either","['KL Rahul', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.972,no run
"short and angling away wide outside off, ignored","['Shikhar Dhawan', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.992,no run
"floated fuller and wider outside off, left alone again","['Shikhar Dhawan', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.686,no run
"back of a length and angling away just a shade outside off, well left alone again","['Shikhar Dhawan', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.999,no run
"edged and taken at second slip. Woakes finds the outside edge and the breakthrough for England. Good length and slanting away outside off with the angle from over the wicket, Dhawan is squared up as he jabs with hard hands and snicks it behind to Buttler","['Shikhar Dhawan', 'Woakes', 'Chris Woakes', 'Buttler', 'Dhawan']","['India', 'England total runs']",POSITIVE,0.999,out
"back of a length on a fourth stump line, Pujara cautiously rides the bounce and dabs with soft hands to the cordon","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.979,no run
"full and outside off, pushed through the covers","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.977,run
"good length and outside off, Pujara leaves it be","['Cheteshwar Pujara', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,0.993,no run
"short and zips away outside off, Pujara presses forward, protects his off stump, and lets it go again","['Cheteshwar Pujara', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,0.996,no run
"full and angling into the pads, neatly picked off fine of long leg for four","['Cheteshwar Pujara', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,0.982,four
"dug in short on off, 133ks, although it looked quicker than that, Pujara stabs it away","['Cheteshwar Pujara', 'Ben Stokes', '133ks']","['India', 'England total runs']",NEGATIVE,0.996,no run
"big inswinginer from Stokes, from wide of the crease, pretty full, Pujara stabs it out again, this time to the leg side","['Cheteshwar Pujara', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.966,no run
Bairstow neatly takes this in front of his head. Bursts from a back of a length outside off and thuds into the gloves of the keeper as Pujara lets it go,"['Cheteshwar Pujara', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.874,no run
"good length, angling in, then seaming away, Rahul plays late, plays with soft hands, ensuring it does not carry to second or third slip. Nicely done","['KL Rahul', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.999,no run
"good length and holds its line outside off, left alone in the channel","['KL Rahul', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.88,no run
"good length, angling in towards off, then zipping away late, beaten","['KL Rahul', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.986,no run
"back of a length and holds its line outside off, left alone","['KL Rahul', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.985,no run
"full and wobbles through outside off, left alone","['KL Rahul', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.999,no run
"Woakes pins Rahul in the crease with an inswinger. He has been given out leg before by umpire Erasmus. Rahul tucks his bat in and walks off. Pujara then chats with him, and Rahul eventually calls for a review. Is this heading down leg? Length ball, big inswinger from Woakes, catches Rahul in the crease, he plays around it and is rapped on the back pad. Ball tracking suggests it would crash into leg stump. Woakes takes out both the Indian openers after a solid start. After testing Rahul with five balls that moved away or held its line outside off, Woakes brings this one back in and nabs Rahul. Top bowling from Woakes. India lose Rahul and a review","['KL Rahul', 'Woakes', 'Rahul', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.629,out
"rising short ball outside off, fended off","['Cheteshwar Pujara', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,0.967,no run
"back of a length and outside off, ignored","['Cheteshwar Pujara', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.998,no run
"very full and straight, forward and flicked out to midwicket","['Cheteshwar Pujara', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,0.999,no run
"back of a length and drifting down the leg side, past the reach of Pujara, past the reach of the diving keeper as well. Bairstow got his left glove to the ball, but it still dribbled away to the fence","['Cheteshwar Pujara', 'Ben Stokes', 'Bairstow']","['India', 'England total runs']",NEGATIVE,0.975,bye
"short and bounces outside off, no shot","['Cheteshwar Pujara', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.939,no run
"overpitched and outside off, Pujara opens the face and shovel drives it in the gap at cover point","['Cheteshwar Pujara', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.982,run
"good length and outside off, ignored","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.805,no run
"full and outside off, wobbles away, ignored","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.998,no run
"a bit too full and outside off, Pujara presses forward and smoothly drives the ball through the covers. Not much of a follow through but the timing is exquisite, as is the placement. Stroked to the left of short cover","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,1.0,four
"Woakes shortens his length outside off, forces Pujara back, rides it out to the cordon","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.987,no run
"back of a length and holds its line outside off, left alone","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.985,no run
"back of a length, angling in, and nipping away outside off, left alone again","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.978,no run
"Kohli reaches out for his first ball and is beaten outside off. Fuller than a good length, angling in, then swinging away. Draws Kohli forward and teases his outside edge","['Stuart Broad', 'Draws Kohli', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.999,no run
"full inswinger, forward and inside edged to short midwicket","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.755,no run
"back of a length and slanting in on middle, worked away to the leg side off the back foot","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.964,run
"back of a length and outside off, Pujara leans back, rides the bounce, and steers the ball through the covers. Pujara's control of 100 remains intact after 21 balls","['Stuart Broad', 'Cheteshwar Pujara']","['India', 'England total runs']",POSITIVE,0.996,run
back of a length and angling into a back foot punch towards short cover,"['Stuart Broad', 'Cheteshwar Pujara']","['India', 'England total runs']",NEGATIVE,0.987,no run
"huuuuuge inswinger from Broad! Bring out the oh my Broad expression. Well, not quite. Good length, angling in, snaking in visiously, beats Pujara's inside edge and bounces over leg stump","['Stuart Broad', 'Cheteshwar Pujara', 'Broad']","['India', 'England total runs']",POSITIVE,0.587,no run
"good length and swings away against the angle, Kohli tightens and lets it pass","['Kohli', 'Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.999,no run
"full and straight, Kohli happily flicks it through the gap at midwicket","['Kohli', 'Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,1.0,run
"back of a length and holds its line outside off, left alone by Pujara","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.991,no run
"full and outside off, left alone again","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.998,no run
"full, angling in towards off, then swinging away, Pujara reads it well and shoulders arms","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.999,no run
"rolls through to the diving keeper. Full, angling in, and shaping away, left alone","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.939,no run
"another big inswinger from Broad, Kohli is struck on the front pad below the knee roll. But impact is outside the line of off. Not given out lbw. Broad and England challenge the on field not out decision. It stays not out. Gee, Broad is getting these to hoop back in","['Stuart Broad', 'Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.973,no run
"back of a length on a fourth stump line outside off, no shot","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.96,no run
"back of a length and skidding in, Broad has Kohli falling over the flick now and pings the thigh","['Stuart Broad', 'Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",NEGATIVE,0.919,no run
"back of a length and bounces through the channel, Kohli has nothing to do with it","['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",NEGATIVE,0.955,no run
Kohli gets his front foot across the line and works this inswinger to short midwicket,"['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",NEGATIVE,0.935,no run
full and wide outside off wider than a set of stumps outside off Kohli still chases it for nothing. Carved away to point. What a risky shot for no runs,"['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",NEGATIVE,0.973,no run
"wide of the crease, angling into a back foot defence to short midwicket","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.893,no run
"full and just a shade outside off, Pujara judges it well and lets it go","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,1.0,no run
"good length on middle, Pujara carefully blocks to the leg side","['Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.989,no run
"Oh, Pujara holes out at the stroke of lunch. Chest high short ball on middle, Pujara takes it on with an uncharacteristic hook, as opposed to swaying away or ducking under it, he can't keep it down and hits it straight down the throat of Rashid at long leg. He had swivelled on the back foot and hit the ball a bit too early","['Rashid', 'Cheteshwar Pujara', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.986,out
short of a length and angled in at off. Cuts away too but Rahane solidly behind it to defend,"['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.999,no run
"full outswinger just outside off, left alone","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.997,no run
"length ball at off stump, blocked solidly on the front foot","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.883,no run
"length on off stump, defended down the pitch off the front foot","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.593,no run
"in control. Short of a length ball outside off, shuffles to get behind it and opens the face to run it past third slip with soft hands","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.965,run
beaten. Seam up and landing in the corridor. Jags away as he looks to defend on the back foot,"['Stuart Broad', 'Virat Kohli', 'Jags']","['India', 'England total runs']",NEGATIVE,0.999,no run
"short of a length on off stump, defended off the back foot","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.899,no run
cops it on the body as this one climbs up from a length. He was looking to press forward outside off,"['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.96,no run
short of a length and banged in at off stump. Shapes away a touch. Run into the slips with soft hands,"['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.965,no run
"length outside off, blocked with a big front foot stride","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.918,no run
"full and swung away outside off, left alone","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.949,no run
nicely timed. Short of a length ball on the pads and he waits late before nudging this through square leg,"['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.992,run
